Company,Slogan,Slogan_clean,Category
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
NIVEA,More evolved skincare.,More evolved skincare.,General
Snickers,Get some nuts!,Get some nuts!,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Lipton,Be more tea.,Be more tea.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Yogi Tea,How good can you feel?,How good can you feel?,General
Celestial Seasonings,Make any moment Celestial.,Make any moment Celestial.,General
Barry's Tea,Every day should have its golden moments.,Every day should have its golden moments.,General
Clipper tea,Britain's favourite green tea.,Britain's favourite green tea.,General
Dilmah,The finest tea on earth.,The finest tea on earth.,General
Kericho Gold,A Matter of Good Taste,A Matter of Good Taste,General
PG Tips tea,Put the kettle on.,Put the kettle on.,General
Punjana tea,Everyone's cup of tea.,Everyone's cup of tea.,General
Yorkshire Tea,Let's have a proper brew.,Let's have a proper brew.,General
Red Rose Tea,Red Rose Tea is good tea.,Red Rose Tea is good tea.,General
Twinings tea,Gets you back to you.,Gets you back to you.,General
Tazo Tea,It begins with tea.,It begins with tea.,General
Zealong tea,100% pure New Zealand tea.,100% pure New Zealand tea.,General
Ten Ren Tea,Ten Ren's. Tea time.,Ten Ren's. Tea time.,General
Tetley tea,"Make time, make Tetley.","Make time, make Tetley.",General
Lipton,Be more tea.,Be more tea.,General
Badoit,The petillant table water.,The petillant table water.,General
Vittel,It must be the water.,It must be the water.,General
Perrier,Perrier. The ultimate refreshment.,Perrier. The ultimate refreshment.,General
Donat Mg,More than magnesium.,More than magnesium.,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Head & Shoulders,Live head first.,Live head first.,General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Naya Waters,Hungry for life. Thirsty for Naya.,Hungry for life. Thirsty for Naya.,General
S.Pellegrino,S. Pellegrino. Live in Italian.,S. Pellegrino. Live in Italian.,General
Volvic,Filled with volcanicity.,Filled with volcanicity.,General
Aquafina,Make your body happy.,Make your body happy.,General
Don Julio,Know your tequila.,Know your tequila.,General
Olmeca Tequila,Switch on the night.,Switch on the night.,General
Jameson Irish Whiskey,The spirit of Ireland.,The spirit of Ireland.,General
Glenfiddich,Single source of inspiration.,Single source of inspiration.,General
Stolichnaya vodka,Exquisite wodka.,Exquisite wodka.,Food & Beverage
Smirnoff vodka,The greatest name in Vodka.,The greatest name in Vodka.,Food & Beverage
Tree Top,Nurtured from the start.,Nurtured from the start.,General
Grolsch Brewery,No Oneâs Ever Changed The World By Being Boaring.,No Oneâs Ever Changed The World By Being Boaring.,General
Remy Martin,Feel More.,Feel More.,General
Hennessy,Mix accordingly.,Mix accordingly.,General
Martell (cognac),Only a Few Can Tell.,Only a Few Can Tell.,General
Four Roses,America's most gifted whiskey.,America's most gifted whiskey.,General
Maker's Mark,Please enjoy it that way.,Please enjoy it that way.,General
Jim Beam,Real Friends. Real Bourbon.,Real Friends. Real Bourbon.,General
Wild Turkey (bourbon),Too good to keep cooped up.,Too good to keep cooped up.,General
Rolling Rock,Rolling Rock. Free Flowing.,Rolling Rock. Free Flowing.,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Head & Shoulders,Live head first.,Live head first.,General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Pilsner Urquell,The world's first golden beer.,The world's first golden beer.,General
Boddingtons,It's a bit gorgeous.,It's a bit gorgeous.,General
Beck's,Beck's. Life Beckons.,Beck's. Life Beckons.,General
Sapporo,Senses Never Forget.,Senses Never Forget.,General
Stella Artois,Reassuringly expensive,Reassuringly expensive,General
Paulaner Brewery,"Good, better, Paulaner.","Good, better, Paulaner.",General
Corona,Miles Away From ordinary.,Miles Away From ordinary.,General
Red Stripe,It's BEER. Hooray beer!,It's BEER. Hooray beer!,General
Castlemaine XXXX,Australians wouldn't give a XXXX for anything,Australians wouldn't give a XXXX for anything,General
Newcastle Brown Ale,The One and Only.,The One and Only.,General
St. Pauli Girl,Germany's Fun-Loving Beer.,Germany's Fun-Loving Beer.,General
Dos Equis,Let your tastes travel.,Let your tastes travel.,General
Bad Frog,The Beer so Good it's Bad.,The Beer so Good it's Bad.,General
Molson Canadian,It Starts Here.,It Starts Here.,General
A&W Root Beer,That frosty mug sensation.,That frosty mug sensation.,Food & Beverage
Coors Brewing Company,It won't slow you down.,It won't slow you down.,General
Three Olives Vodka,Crisp. Clean. Smooth.,Crisp. Clean. Smooth.,Food & Beverage
Snapple,Made from the best stuff on Earth.,Made from the best stuff on Earth.,Technology
Schweppes,Schhh! You know who?,Schhh! You know who?,General
Canadian Mist,Grip it. Tip it. Sip it.,Grip it. Tip it. Sip it.,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Head & Shoulders,Live head first.,Live head first.,General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Johnnie Walker,Johnnie Walker. Keep Walking.,Johnnie Walker. Keep Walking.,General
Maxwell House,Good to the last drop.,Good to the last drop.,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Miller Beer,"If youâve got the time, weâve got the beer.","If youâve got the time, weâve got the beer.",Food & Beverage
Juicy Juice,100% juice for 100% kids.,100% juice for 100% kids.,Food & Beverage
RC cola,"Relax, and Enjoy Royal Crown Cola","Relax, and Enjoy Royal Crown Cola",Food & Beverage
Skyy Vodka,"Drink dirty martinis, not dirty vodka","Drink dirty martinis, not dirty vodka",Food & Beverage
Hawaiian Punch,How about a nice Hawaiian Punch?,How about a nice Hawaiian Punch?,General
Mountain Dew,Itâll tickle your innards.,Itâll tickle your innards.,General
Absolut Vodka,ABSOLUT PERFECTION.,ABSOLUT PERFECTION.,Food & Beverage
Bacardi,Thirsty for life? Drink Responsibly.,Thirsty for life? Drink Responsibly.,General
Naked Juice,Worth its weight in good.,Worth its weight in good.,Food & Beverage
Pepsi,Delicious. Refreshing. Pepsi.,Delicious. Refreshing. Pepsi.,Food & Beverage
Carabao,Free your inner Carabao.,Free your inner Carabao.,General
Budweiser,The king of beers.,The king of beers.,General
7 Up,The Un-cola.,The Un-cola.,General
Carlsberg,Probably the Best Beer in the World.,Probably the Best Beer in the World.,General
Typhoo,Typhoo puts the T in Britain.,Typhoo puts the T in Britain.,General
Dr. Pepper,Whatâs the Worst That Could Happen?,Whatâs the Worst That Could Happen?,General
Red Bull,It Gives You Wiiiings.,It Gives You Wiiiings.,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Head & Shoulders,Live head first.,Live head first.,General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Head & Shoulders,Live head first.,Live head first.,General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Chupa Chups,Smoke Chupa Chups.,Smoke Chupa Chups.,General
Tic Tac,It's not just a mint.,It's not just a mint.,General
Toblerone,Make time for Toblerone.,Make time for Toblerone.,General
Helms Bakery,Daily at Your Door,Daily at Your Door,General
Lollicup Coffee & Tea,"Add a Little Fun, Mix a Little Flavor","Add a Little Fun, Mix a Little Flavor",Food & Beverage
Baker's Dozen Donuts,Not Just Donuts...,Not Just Donuts...,General
Dan-D Foods,Fine Foods of the Earth,Fine Foods of the Earth,General
Canyon Creek Food Company,Favorite foods made easy.,Favorite foods made easy.,General
Wispa,Time Well Mis-spent,Time Well Mis-spent,General
Cadbury Roses,Roses Grow On You.,Roses Grow On You.,General
Picnic (chocolate bar),Deliciously ugly,Deliciously ugly,Food & Beverage
Moro (chocolate bar),Get more go,Get more go,Food & Beverage
Crunchie,Get that Friday feeling,Get that Friday feeling,General
Chomp (chocolate bar),It's a monster chew!,It's a monster chew!,Food & Beverage
Trix (cereal),Trix Are For Kids!,Trix Are For Kids!,General
Time Out (chocolate bar),âthe wafer break with a layer of Flake.,âthe wafer break with a layer of Flake.,Food & Beverage
Violet Crumble,It's the way it shatters that matters.,It's the way it shatters that matters.,General
Cadbury Creme Egg,It's Hunting Season.,It's Hunting Season.,General
Planters,Naturally Remarkable.,Naturally Remarkable.,General
Chips Ahoy!,Crazy with chips!,Crazy with chips!,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Head & Shoulders,Live head first.,Live head first.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Fancy Feast,The best ingredient is love.,The best ingredient is love.,General
Dolmio,Whenâsa your Dolmio day?,Whenâsa your Dolmio day?,General
Hula Hoops,Best ever flavour.,Best ever flavour.,General
5 (gum),Stimulate Your Senses.,Stimulate Your Senses.,General
Peperami,"All Pork, No Bull.","All Pork, No Bull.",General
Colman's,"Come on Colman's, light my fire.","Come on Colman's, light my fire.",General
Boursin cheese,"Some bread, some wine, some Boursin.","Some bread, some wine, some Boursin.",General
Butterfinger,better butter finger.,better butter finger.,General
Boost (chocolate bar),One Step Ahead.,One Step Ahead.,Food & Beverage
3 Musketeers,Big on Chocolate!,Big on Chocolate!,General
Trident (gum),See what Unfolds.,See what Unfolds.,General
Cheetos,Dangerously cheesy.,Dangerously cheesy.,General
Hostess CupCake,Where's the cream filling?,Where's the cream filling?,General
Ouma Rusks,Baked on the original farm.,Baked on the original farm.,General
Oreo,Only oreo.,Only oreo.,General
Nik Naks,Eat The Freak.,Eat The Freak.,General
Ruffles,Ruffles have RRRidges.,Ruffles have RRRidges.,General
Toaster Strudel,Get Zem GÃ¶ing.,Get Zem GÃ¶ing.,General
Tastykake,The Cake That Made Mother Stop Baking.,The Cake That Made Mother Stop Baking.,General
Walkers,Fresh Taste Guaranteed.,Fresh Taste Guaranteed.,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Head & Shoulders,Live head first.,Live head first.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Branston,Bring out the Branston.,Bring out the Branston.,General
Twisties,Life's pretty straight without...,Life's pretty straight without...,General
Burger Rings,Full on burger flavour.,Full on burger flavour.,General
Start (cereal),"I Want, Now I Can.","I Want, Now I Can.",General
Cocoa Krispies,Can you handle the crunch?,Can you handle the crunch?,General
Rice-A-Roni,The San Francisco Treat.,The San Francisco Treat.,General
Life Savers,Still only 5 cents.,Still only 5 cents.,General
Golden Crisp,Canât Get Enough of That Golden Crisp.,Canât Get Enough of That Golden Crisp.,General
Alpha Bits,They're ice-cream-a-licious!,They're ice-cream-a-licious!,General
Cheerios,Toasted Whole Grain Oat Cereal.,Toasted Whole Grain Oat Cereal.,General
Kix (cereal),Kid-tested. Parent-approved.,Kid-tested. Parent-approved.,General
Grape Nuts,Makes Red Blood!,Makes Red Blood!,General
Apple Jacks,We eat what we like.,We eat what we like.,Technology
Sugar Puffs,You'll Go Monster-Mad For The Honey.,You'll Go Monster-Mad For The Honey.,General
Yorkie (chocolate bar),Itâs Not For Girls.,Itâs Not For Girls.,Food & Beverage
Aero (chocolate),Have you felt the bubbles melt?,Have you felt the bubbles melt?,Food & Beverage
Tootsie Pop,the center of a Tootsie Pop.,the center of a Tootsie Pop.,General
A.1. Sauce,Makes beef sing.,Makes beef sing.,General
Rolaids,that's how you spell relief.,that's how you spell relief.,General
Jell-O,There's always room for Jell-O.,There's always room for Jell-O.,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Head & Shoulders,Live head first.,Live head first.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Prego,It's in there!.,It's in there!.,General
Heinz Baked Beans,Beanz meanz Heinz.,Beanz meanz Heinz.,General
Blue Bonnet,I'm on it like Blue Bonnet!,I'm on it like Blue Bonnet!,General
Honey Bunches of Oats,It's what's for breakfast.,It's what's for breakfast.,General
Birds Eye,Come Home To Birds Eye Country.,Come Home To Birds Eye Country.,General
Candwich,"Quick & Tasty, Ready to Eat.","Quick & Tasty, Ready to Eat.",General
Casa Sanchez,flavor out of this world.,flavor out of this world.,General
Francesco Rinaldi,Enjoyed by everyone.,Enjoyed by everyone.,General
Idaho Spud,The Candy Bar That Makes Idaho Famous.,The Candy Bar That Makes Idaho Famous.,General
Meggle,Ich bin ein Gourmeggle.,Ich bin ein Gourmeggle.,General
Quaker,"Nothing is better for thee, than me.","Nothing is better for thee, than me.",General
Shurfine,You sure save more at a ShurSave store.,You sure save more at a ShurSave store.,General
Shreddies,Shreddie or not?,Shreddie or not?,General
Wagon Wheels,You've got to grin to get it in.,You've got to grin to get it in.,General
Bisto,"Aah, Bisto!","Aah, Bisto!",General
Twizzlers,Makes mouths happy.,Makes mouths happy.,General
Hillshire Farm,Go Meat!,Go Meat!,General
Campbell's,M'm! M'm! Good!,M'm! M'm! Good!,General
Wheaties,The breakfast of champions.,The breakfast of champions.,General
Frosted Flakes,They're g-r-r-r-eat!,They're g-r-r-r-eat!,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Head & Shoulders,Live head first.,Live head first.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
Starbucks,Customize Your Cup.,Customize Your Cup.,General
Audi,Vorsprung durch Technik.,Vorsprung durch Technik.,General
Snickers,Get some nuts!,Get some nuts!,General
NIVEA,More evolved skincare.,More evolved skincare.,General
KFC(Kentucky Fried Chicken),Finger Lickin' Good.,Finger Lickin' Good.,General
Nescafe,It all starts with a NescafÃ©.,It all starts with a NescafÃ©.,General
Levi's Jeans,Original jeans. original people.,Original jeans. original people.,General
Dove (toiletries),The secret of beautiful hair.,The secret of beautiful hair.,General
Lipton,Be more tea.,Be more tea.,General
Pampers,Discover your babyâs world.,Discover your babyâs world.,General
Coca-Cola,Taste The Feeling.,Taste The Feeling.,Food & Beverage
Skittles,Taste the rainbow.,Taste the rainbow.,General
Ajinomoto,"Eat Well, Live Well.","Eat Well, Live Well.",General
Mamee Double-Decker,A World of Good Taste.,A World of Good Taste.,General
Freia (chocolate),A small piece of Norway.,A small piece of Norway.,Food & Beverage
Golden Wonder,You'll never grow old in Golden Wonderland!,You'll never grow old in Golden Wonderland!,General
Ferrero-KÃ¼sschen,Give a KÃ¼sschen to your friend!,Give a KÃ¼sschen to your friend!,General
Ritter Sport,Quality in a Square.,Quality in a Square.,General
Haribo,Child and adult is happy.,Child and adult is happy.,General
PÃR Gum,Live PUR.,Live PUR.,General
Chicken Tonight,I feel like Chicken Tonight.,I feel like Chicken Tonight.,General
Hobnob biscuit,Chocolate now has Hobnobs underneath.,Chocolate now has Hobnobs underneath.,General
Homepride,the one with the bag.,the one with the bag.,General
Marmite,Love it or hate it.,Love it or hate it.,General
Tip Top Bakeries,Tip Top's the One.,Tip Top's the One.,General
Chiko Roll,You can't knock the roll.,You can't knock the roll.,General
Now and Later,Share the Square.,Share the Square.,General
Milky Way,Life's Better the Milky Way.,Life's Better the Milky Way.,General
Dippin' Dots,Ice Cream of the Future,Ice Cream of the Future,General
Lunchables,Make fun of lunch!,Make fun of lunch!,General
Smucker,it has to be good.,it has to be good.,General
Fanta,"Drink Fanta, stay Bamboocha.","Drink Fanta, stay Bamboocha.",General
Colgate,"Stronger, healthier gums.","Stronger, healthier gums.",General
Pizza Hut,Make it great.,Make it great.,General
Domino's Pizza,Pizza deliver experts.,Pizza deliver experts.,General
Head & Shoulders,Live head first.,Live head first.,General
Ben & Jerry's,"Peace, love & ice cream.","Peace, love & ice cream.",General
Heineken,It's all about the beer.,It's all about the beer.,Food & Beverage
Gatorade,The Legend Continues.,The Legend Continues.,Food & Beverage
Milo,MILO Everyday!,MILO Everyday!,General
